audio_secs,words,cleaned,audio_ms,whisper_ms,gap_ms,grammar_ms,insertion_ms,total_ms
0.91,1,false,3,300,0,0,10,314
1.42,3,true,4,393,1,198,25,621
15.30,22,true,30,532,1,179,151,892
5.92,9,true,14,539,2,152,86,792
7.24,12,true,15,459,1,171,101,747
9.25,9,true,19,907,1,155,82,1163
6.62,10,true,15,483,1,456,78,1032
9.15,13,true,21,435,1,181,93,731
6.16,9,true,16,315,1,195,72,599
5.19,10,true,12,369,2,301,78,762
8.93,12,true,20,490,1,202,98,812
7.02,6,true,15,334,1,280,64,694
1.01,2,true,3,265,1,159,19,446
1.31,2,false,5,357,1,0,22,384
1.27,1,false,4,333,1,0,18,355
10.82,25,true,24,503,1,206,110,843
1.46,2,false,4,668,1,0,17,690
1.33,1,false,3,465,1,0,13,483
5.66,5,true,14,367,1,129,44,554
2.92,7,true,7,308,0,508,46,868
2.68,9,true,6,299,1,199,47,552
3.99,7,true,9,598,0,135,31,773
4.29,5,true,11,399,1,198,38,647
3.09,6,true,6,313,1,170,50,541
4.30,6,true,9,670,1,156,38,874
2.72,5,true,7,304,1,136,37,484
2.28,5,true,6,438,1,206,40,691
2.48,5,true,6,296,1,170,72,544
2.54,4,true,6,410,0,200,36,652
3.15,5,true,7,304,0,149,38,499
9.45,5,true,20,488,1,432,50,990
3.38,6,true,9,289,0,137,28,464
3.79,5,true,8,373,1,142,37,559
2.48,5,true,6,384,1,140,59,590
2.28,5,true,6,330,1,160,48,544
4.55,9,true,11,362,1,152,56,582
5.56,5,true,13,648,1,130,87,880
2.99,6,true,7,425,0,132,61,626
3.04,5,true,7,363,0,159,47,576
2.33,5,true,6,304,1,141,45,497
2.63,5,true,7,272,1,186,41,506
2.83,6,true,7,284,0,439,66,796
4.10,6,true,11,277,1,442,44,774
2.92,5,true,8,309,1,149,63,529
3.23,7,true,8,289,1,138,57,493
3.23,4,true,8,392,1,167,43,611
1.02,1,false,2,247,0,0,16,266
3.99,5,true,8,595,0,143,36,782
3.70,5,true,9,388,0,236,68,700
2.73,6,true,7,383,0,202,41,633
2.87,6,true,6,415,0,145,48,614
3.29,6,true,9,400,0,135,51,595
2.27,6,true,5,364,0,134,40,543
3.89,6,true,8,402,0,144,41,595
2.23,5,true,5,312,0,133,33,484
2.32,5,true,6,303,0,180,1033,1522
2.57,6,true,5,301,0,130,44,481
2.43,1,false,6,412,0,0,13,431
2.79,6,true,6,360,0,198,34,599
2.83,5,true,7,317,0,441,31,797
2.93,5,true,7,337,0,145,31,520
2.43,5,true,9,388,0,212,48,657
3.33,6,true,9,302,0,233,54,598
2.49,5,true,9,288,0,146,40,483
2.34,4,true,6,455,0,132,40,634
3.35,6,true,8,306,0,134,35,482
2.44,4,true,8,277,0,139,31,456
2.00,5,true,5,297,0,195,37,534
1.87,5,true,4,356,0,292,50,703
3.61,6,true,8,368,0,129,30,536
2.63,6,true,8,291,0,154,40,493
